Info 0    [16:56:37.645] Starting TS Server
Info 1    [16:56:37.646] Version: 4.0.3
Info 2    [16:56:37.646] Arguments: /usr/bin/node /home/arjun/.local/bin/tsserver --logFile /home/arjun/Programs/WhiteHatJR/barter-app/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/315f1997c336122be851a38ec66f2dc1/tscancellation*
Info 3    [16:56:37.646] Platform: linux NodeVersion: 12 CaseSensitive: true
Info 4    [16:56:37.646] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [16:56:37.666] Search path: /home/arjun/Programs/WhiteHatJR/barter-app
Info 6    [16:56:37.668] For info: /home/arjun/Programs/WhiteHatJR/barter-app/App.js :: No config files found.
Info 7    [16:56:37.679] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [16:56:47.651] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 9971ms
Info 9    [16:56:47.651] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [16:56:47.651] 	Files (223)

Info 11   [16:56:47.651] -----------------------------------------------
Info 12   [16:56:47.715] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 13   [16:56:52.109] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true Elapsed: 4394ms
Info 14   [16:56:52.110] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 15   [16:56:52.110] 	Files (176)

Info 16   [16:56:52.110] -----------------------------------------------
Info 17   [16:56:53.90] Search path: /home/arjun/Programs/WhiteHatJR/barter-app/screens
Info 18   [16:56:53.90] For info: /home/arjun/Programs/WhiteHatJR/barter-app/screens/SignInScreen.js :: No config files found.
Info 19   [16:56:54.464] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [16:56:55.475] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true Elapsed: 1010ms
Info 21   [16:56:55.475] Project '/dev/null/inferredProject1*' (Inferred)
Info 22   [16:56:55.475] 	Files (263)

Info 23   [16:56:55.475] -----------------------------------------------
Info 24   [16:56:55.475] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 25   [16:56:55.475] 	Files (176)

Info 26   [16:56:55.475] -----------------------------------------------
Info 27   [16:56:56.627] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 28   [16:56:56.934] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true Elapsed: 306ms
Info 29   [16:56:56.934] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 30   [16:56:58.878] Before ensureProjectForOpenFiles:
Info 31   [16:56:58.878] After ensureProjectForOpenFiles:
Info 32   [16:56:58.914] got projects updated in background, updating diagnostics for /home/arjun/Programs/WhiteHatJR/barter-app/App.js,/home/arjun/Programs/WhiteHatJR/barter-app/screens/SignInScreen.js
Info 33   [16:57:27.504] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 34   [16:57:27.768] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 263ms
Info 35   [16:57:27.768] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 36   [16:57:27.772] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [16:57:27.873] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 101ms
Info 38   [16:57:27.873] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 39   [16:57:28.268] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 40   [16:57:28.367] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 98ms
Info 41   [16:57:28.367] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 42   [16:57:28.372] getCompletionData: Get current token: 0
Info 43   [16:57:28.372] getCompletionData: Is inside comment: 0
Info 44   [16:57:28.372] getCompletionData: Get previous token 1: 0
Info 45   [16:57:28.372] getCompletionData: Get previous token 2: 0
Info 46   [16:57:28.373] getCompletionsAtPosition: isCompletionListBlocker: 1
Info 47   [16:57:28.376] getCompletionData: Semantic work: 3
Info 48   [16:57:28.401] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 24
Info 49   [16:57:28.412] getCompletionData: Get current token: 0
Info 50   [16:57:28.412] getCompletionData: Is inside comment: 0
Info 51   [16:57:28.412] getCompletionData: Get previous token 1: 0
Info 52   [16:57:28.412] getCompletionData: Get previous token 2: 0
Info 53   [16:57:28.412] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 54   [16:57:28.413] getCompletionData: Semantic work: 1
Info 55   [16:57:28.424] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11
Info 56   [16:57:28.433] getCompletionData: Get current token: 0
Info 57   [16:57:28.433] getCompletionData: Is inside comment: 0
Info 58   [16:57:28.433] getCompletionData: Get previous token 1: 0
Info 59   [16:57:28.433] getCompletionData: Get previous token 2: 0
Info 60   [16:57:28.433] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 61   [16:57:28.434] getCompletionData: Semantic work: 1
Info 62   [16:57:28.444] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10
Info 63   [16:57:28.453] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 64   [16:57:28.552] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 99ms
Info 65   [16:57:28.552] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 66   [16:57:28.553] getCompletionData: Get current token: 0
Info 67   [16:57:28.553] getCompletionData: Is inside comment: 0
Info 68   [16:57:28.554] getCompletionData: Get previous token 1: 1
Info 69   [16:57:28.554] getCompletionData: Get previous token 2: 0
Info 70   [16:57:28.554] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 71   [16:57:28.557] getCompletionData: Semantic work: 2
Info 72   [16:57:28.572] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15
Info 73   [16:57:28.747] getCompletionData: Get current token: 0
Info 74   [16:57:28.747] getCompletionData: Is inside comment: 0
Info 75   [16:57:28.747] getCompletionData: Get previous token 1: 0
Info 76   [16:57:28.747] getCompletionData: Get previous token 2: 0
Info 77   [16:57:28.747] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 78   [16:57:28.748] getCompletionData: Semantic work: 1
Info 79   [16:57:28.758] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8
Info 80   [16:57:28.764] getCompletionData: Get current token: 0
Info 81   [16:57:28.764] getCompletionData: Is inside comment: 0
Info 82   [16:57:28.764] getCompletionData: Get previous token 1: 0
Info 83   [16:57:28.764] getCompletionData: Get previous token 2: 0
Info 84   [16:57:28.765] getCompletionsAtPosition: isCompletionListBlocker: 1
Info 85   [16:57:28.765] getCompletionData: Semantic work: 0
Info 86   [16:57:28.769] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4
Info 87   [16:57:30.640] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 88   [16:57:30.812] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 172ms
Info 89   [16:57:30.813] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 90   [16:57:31.850] Format host information updated
Info 91   [16:57:32.131] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 92   [16:57:32.464] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 333ms
Info 93   [16:57:32.464] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 94   [16:57:36.862] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 95   [16:57:37.40] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 178ms
Info 96   [16:57:37.40] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 97   [16:57:37.45] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 98   [16:57:37.198] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 153ms
Info 99   [16:57:37.199] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 100  [16:57:37.884] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 101  [16:57:37.958] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 74ms
Info 102  [16:57:37.958] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 103  [16:57:38.551] Format host information updated
Info 104  [16:57:38.805] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 105  [16:57:38.934] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 129ms
Info 106  [16:57:38.934] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 107  [16:57:53.548] Search path: /home/arjun/Programs/WhiteHatJR/barter-app/components
Info 108  [16:57:53.550] For info: /home/arjun/Programs/WhiteHatJR/barter-app/components/SignInModal.js :: No config files found.
Info 109  [16:57:53.554] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 110  [16:57:54.404] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 850ms
Info 111  [16:57:54.405] Project '/dev/null/inferredProject2*' (Inferred)
Info 112  [16:57:54.405] 	Files (222)

Info 113  [16:57:54.405] -----------------------------------------------
Info 114  [16:57:54.488] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject2*
Info 115  [16:57:56.25] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject2* Version: 1 structureChanged: true Elapsed: 1537ms
Info 116  [16:57:56.25] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 117  [16:57:56.25] 	Files (176)

Info 118  [16:57:56.25] -----------------------------------------------
Info 119  [16:57:57.25] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 120  [16:57:57.417] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: true Elapsed: 392ms
Info 121  [16:57:57.417] Project '/dev/null/inferredProject2*' (Inferred)
Info 122  [16:57:57.417] 	Files (262)

Info 123  [16:57:57.417] -----------------------------------------------
Info 124  [16:57:57.417] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 125  [16:57:57.417] 	Files (176)

Info 126  [16:57:57.417] -----------------------------------------------
Info 127  [16:57:57.924] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 128  [16:57:58.27] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 3 structureChanged: false Elapsed: 103ms
Info 129  [16:57:58.27] Different program with same set of files:: oldProgram.structureIsReused:: 2
